,Location_code,All_location,Type_of_meat,Usage,Year,Unit,Magnitude,Value,Country,Continent,Economic_Area,Water_liters_for_meat_prod_per_kilos,Water_Liter,Production_value,Consumption_value,Human_consumption_per_capita_value
203565,AUS,Australia,Beef and veal,Production,1990,Tonnes,Hundreds,17929.670000000002,Australia,Not a continent,Not an Economic Area,15.415,,17929.670000000002,,
203566,AUS,Australia,Beef and veal,Production,1991,Tonnes,Hundreds,18319.7,Australia,Not a continent,Not an Economic Area,15.415,,18319.7,,
203567,AUS,Australia,Beef and veal,Production,1992,Tonnes,Hundreds,18759.16,Australia,Not a continent,Not an Economic Area,15.415,,18759.16,,
203568,AUS,Australia,Beef and veal,Production,1993,Tonnes,Hundreds,18999.4,Australia,Not a continent,Not an Economic Area,15.415,,18999.4,,
203569,AUS,Australia,Beef and veal,Production,1994,Tonnes,Hundreds,19240.530000000002,Australia,Not a continent,Not an Economic Area,15.415,,19240.530000000002,,
203570,AUS,Australia,Beef and veal,Production,1995,Tonnes,Hundreds,19396.120000000003,Australia,Not a continent,Not an Economic Area,15.415,,19396.120000000003,,
203571,AUS,Australia,Beef and veal,Production,1996,Tonnes,Hundreds,20788.879999999997,Australia,Not a continent,Not an Economic Area,15.415,,20788.879999999997,,
203572,AUS,Australia,Beef and veal,Production,1997,Tonnes,Hundreds,21720.920000000002,Australia,Not a continent,Not an Economic Area,15.415,,21720.920000000002,,
203573,AUS,Australia,Beef and veal,Production,1998,Tonnes,Hundreds,22294.989999999998,Australia,Not a continent,Not an Economic Area,15.415,,22294.989999999998,,
203574,AUS,Australia,Beef and veal,Production,1999,Tonnes,Hundreds,22440.44,Australia,Not a continent,Not an Economic Area,15.415,,22440.44,,
203575,AUS,Australia,Beef and veal,Production,2000,Tonnes,Hundreds,23777.68,Australia,Not a continent,Not an Economic Area,15.415,,23777.68,,
203576,AUS,Australia,Beef and veal,Production,2001,Tonnes,Hundreds,22738.3,Australia,Not a continent,Not an Economic Area,15.415,,22738.3,,
203577,AUS,Australia,Beef and veal,Production,2002,Tonnes,Hundreds,23751.97,Australia,Not a continent,Not an Economic Area,15.415,,23751.97,,
203578,AUS,Australia,Beef and veal,Production,2003,Tonnes,Hundreds,22375.230000000003,Australia,Not a continent,Not an Economic Area,15.415,,22375.230000000003,,
203579,AUS,Australia,Beef and veal,Production,2004,Tonnes,Hundreds,23490.300000000003,Australia,Not a continent,Not an Economic Area,15.415,,23490.300000000003,,
203580,AUS,Australia,Beef and veal,Production,2005,Tonnes,Hundreds,22503.94,Australia,Not a continent,Not an Economic Area,15.415,,22503.94,,
203581,AUS,Australia,Beef and veal,Production,2006,Tonnes,Hundreds,24290.36,Australia,Not a continent,Not an Economic Area,15.415,,24290.36,,
203582,AUS,Australia,Beef and veal,Production,2007,Tonnes,Hundreds,23628.780000000002,Australia,Not a continent,Not an Economic Area,15.415,,23628.780000000002,,
203583,AUS,Australia,Beef and veal,Production,2008,Tonnes,Hundreds,23924.29,Australia,Not a continent,Not an Economic Area,15.415,,23924.29,,
203584,AUS,Australia,Beef and veal,Production,2009,Tonnes,Hundreds,23960.38,Australia,Not a continent,Not an Economic Area,15.415,,23960.38,,
203585,AUS,Australia,Beef and veal,Production,2010,Tonnes,Hundreds,23701.0,Australia,Not a continent,Not an Economic Area,15.415,,23701.0,,
203586,AUS,Australia,Beef and veal,Production,2011,Tonnes,Hundreds,23340.100000000002,Australia,Not a continent,Not an Economic Area,15.415,,23340.100000000002,,
203587,AUS,Australia,Beef and veal,Production,2012,Tonnes,Hundreds,23423.28,Australia,Not a continent,Not an Economic Area,15.415,,23423.28,,
203588,AUS,Australia,Beef and veal,Production,2013,Tonnes,Hundreds,26989.66,Australia,Not a continent,Not an Economic Area,15.415,,26989.66,,
203589,AUS,Australia,Beef and veal,Production,2014,Tonnes,Hundreds,30088.01,Australia,Not a continent,Not an Economic Area,15.415,,30088.01,,
203590,AUS,Australia,Beef and veal,Production,2015,Tonnes,Hundreds,29243.670000000002,Australia,Not a continent,Not an Economic Area,15.415,,29243.670000000002,,
203591,AUS,Australia,Beef and veal,Production,2016,Tonnes,Hundreds,24000.32,Australia,Not a continent,Not an Economic Area,15.415,,24000.32,,
203592,AUS,Australia,Beef and veal,Production,2017,Tonnes,Hundreds,24433.600000000002,Australia,Not a continent,Not an Economic Area,15.415,,24433.600000000002,,
203593,AUS,Australia,Beef and veal,Production,2018,Tonnes,Hundreds,26895.0,Australia,Not a continent,Not an Economic Area,15.415,,26895.0,,
203594,AUS,Australia,Beef and veal,Production,2019,Tonnes,Hundreds,27431.0,Australia,Not a continent,Not an Economic Area,15.415,,27431.0,,
203595,AUS,Australia,Beef and veal,Production,2020,Tonnes,Hundreds,22134.0,Australia,Not a continent,Not an Economic Area,15.415,,22134.0,,
203596,AUS,Australia,Beef and veal,Production,2021,Tonnes,Hundreds,24454.09,Australia,Not a continent,Not an Economic Area,15.415,,24454.09,,
203597,AUS,Australia,Beef and veal,Production,2022,Tonnes,Hundreds,25256.81,Australia,Not a continent,Not an Economic Area,15.415,,25256.81,,
203853,AUS,Australia,Beef and veal,Human consumption per capita,1991,Kilograms per capita,Units,33.636,Australia,Not a continent,Not an Economic Area,15.415,518.4989400000001,,,33.636
203854,AUS,Australia,Beef and veal,Human consumption per capita,1992,Kilograms per capita,Units,32.964,Australia,Not a continent,Not an Economic Area,15.415,508.14005999999995,,,32.964
203855,AUS,Australia,Beef and veal,Human consumption per capita,1993,Kilograms per capita,Units,30.751,Australia,Not a continent,Not an Economic Area,15.415,474.026665,,,30.751
203856,AUS,Australia,Beef and veal,Human consumption per capita,1994,Kilograms per capita,Units,27.942,Australia,Not a continent,Not an Economic Area,15.415,430.72593,,,27.942
203857,AUS,Australia,Beef and veal,Human consumption per capita,1995,Kilograms per capita,Units,28.418,Australia,Not a continent,Not an Economic Area,15.415,438.06346999999994,,,28.418
203858,AUS,Australia,Beef and veal,Human consumption per capita,1996,Kilograms per capita,Units,32.754,Australia,Not a continent,Not an Economic Area,15.415,504.90290999999996,,,32.754
203859,AUS,Australia,Beef and veal,Human consumption per capita,1997,Kilograms per capita,Units,32.347,Australia,Not a continent,Not an Economic Area,15.415,498.629005,,,32.347
203860,AUS,Australia,Beef and veal,Human consumption per capita,1998,Kilograms per capita,Units,30.518,Australia,Not a continent,Not an Economic Area,15.415,470.43496999999996,,,30.518
203861,AUS,Australia,Beef and veal,Human consumption per capita,1999,Kilograms per capita,Units,31.307,Australia,Not a continent,Not an Economic Area,15.415,482.5974049999999,,,31.307
203862,AUS,Australia,Beef and veal,Human consumption per capita,2000,Kilograms per capita,Units,33.37,Australia,Not a continent,Not an Economic Area,15.415,514.3985499999999,,,33.37
203863,AUS,Australia,Beef and veal,Human consumption per capita,2001,Kilograms per capita,Units,27.61,Australia,Not a continent,Not an Economic Area,15.415,425.60814999999997,,,27.61
203864,AUS,Australia,Beef and veal,Human consumption per capita,2002,Kilograms per capita,Units,28.962,Australia,Not a continent,Not an Economic Area,15.415,446.44922999999994,,,28.962
203865,AUS,Australia,Beef and veal,Human consumption per capita,2003,Kilograms per capita,Units,30.667,Australia,Not a continent,Not an Economic Area,15.415,472.731805,,,30.667
203866,AUS,Australia,Beef and veal,Human consumption per capita,2004,Kilograms per capita,Units,33.589,Australia,Not a continent,Not an Economic Area,15.415,517.7744349999999,,,33.589
203867,AUS,Australia,Beef and veal,Human consumption per capita,2005,Kilograms per capita,Units,28.932,Australia,Not a continent,Not an Economic Area,15.415,445.98677999999995,,,28.932
203868,AUS,Australia,Beef and veal,Human consumption per capita,2006,Kilograms per capita,Units,31.471,Australia,Not a continent,Not an Economic Area,15.415,485.12546499999996,,,31.471
203869,AUS,Australia,Beef and veal,Human consumption per capita,2007,Kilograms per capita,Units,26.244,Australia,Not a continent,Not an Economic Area,15.415,404.55125999999996,,,26.244
203870,AUS,Australia,Beef and veal,Human consumption per capita,2008,Kilograms per capita,Units,26.802,Australia,Not a continent,Not an Economic Area,15.415,413.15283,,,26.802
203871,AUS,Australia,Beef and veal,Human consumption per capita,2009,Kilograms per capita,Units,27.187,Australia,Not a continent,Not an Economic Area,15.415,419.087605,,,27.187
203872,AUS,Australia,Beef and veal,Human consumption per capita,2010,Kilograms per capita,Units,28.547,Australia,Not a continent,Not an Economic Area,15.415,440.052005,,,28.547
203873,AUS,Australia,Beef and veal,Human consumption per capita,2011,Kilograms per capita,Units,26.485,Australia,Not a continent,Not an Economic Area,15.415,408.26627499999995,,,26.485
203874,AUS,Australia,Beef and veal,Human consumption per capita,2012,Kilograms per capita,Units,26.349,Australia,Not a continent,Not an Economic Area,15.415,406.169835,,,26.349
203875,AUS,Australia,Beef and veal,Human consumption per capita,2013,Kilograms per capita,Units,28.386,Australia,Not a continent,Not an Economic Area,15.415,437.57018999999997,,,28.386
203876,AUS,Australia,Beef and veal,Human consumption per capita,2014,Kilograms per capita,Units,28.318,Australia,Not a continent,Not an Economic Area,15.415,436.52197,,,28.318
203877,AUS,Australia,Beef and veal,Human consumption per capita,2015,Kilograms per capita,Units,26.156,Australia,Not a continent,Not an Economic Area,15.415,403.19473999999997,,,26.156
203878,AUS,Australia,Beef and veal,Human consumption per capita,2016,Kilograms per capita,Units,23.475,Australia,Not a continent,Not an Economic Area,15.415,361.867125,,,23.475
203879,AUS,Australia,Beef and veal,Human consumption per capita,2017,Kilograms per capita,Units,22.992,Australia,Not a continent,Not an Economic Area,15.415,354.42168,,,22.992
