,Location_code,Country,cat,Water_lack_risk_level,Continent,World_region,Unnamed: 10
43,SAU,Saudi Arabia,4.0,Extremely High (>80%),Asia,Middle East & North Africa,
49,ISR,Israel,4.0,Extremely High (>80%),Asia,Middle East & North Africa,
55,EGY,Egypt,4.0,Extremely High (>80%),Africa,Middle East & North Africa,
77,IRN,Iran,4.0,Extremely High (>80%),Asia,Middle East & North Africa,
93,CHL,Chile,4.0,Extremely High (>80%),Americas,Latin America & Caribbean,
136,ZAF,South Africa,4.0,Extremely High (>80%),Africa,Sub-Saharan Africa,
151,IND,India,4.0,Extremely High (>80%),Asia,South Asia,
172,UKR,Ukraine,4.0,High (0.8-1.0),Europe,Europe & Central Asia,
182,MEX,Mexico,3.0,High (40-80%),Americas,Latin America & Caribbean,
218,IND,India,3.0,Medium - High (0.6-0.8),Asia,South Asia,
221,PAK,Pakistan,3.0,High (40-80%),Asia,South Asia,
232,PER,Peru,3.0,High (40-80%),Americas,Latin America & Caribbean,
263,IDN,Indonesia,3.0,Medium - High (0.6-0.8),Asia,East Asia & Pacific,
267,THA,Thailand,3.0,High (40-80%),Asia,East Asia & Pacific,
347,TUR,Turkey,3.0,High (40-80%),Asia,Europe & Central Asia,
361,PAK,Pakistan,3.0,Medium - High (0.6-0.8),Asia,South Asia,
373,VNM,Vietnam,3.0,Medium - High (0.6-0.8),Asia,East Asia & Pacific,
545,CHN,China,3.0,Medium - High (0.6-0.8),Asia,East Asia & Pacific,
563,GBR,United Kingdom,3.0,Medium - High (0.6-0.8),Europe,Europe & Central Asia,
565,THA,Thailand,3.0,Medium - High (0.6-0.8),Asia,East Asia & Pacific,
568,TUR,Turkey,3.0,Medium - High (0.6-0.8),Asia,Europe & Central Asia,
632,AUS,Australia,2.0,Medium - High (20-40%),Oceania,East Asia & Pacific,
645,IRN,Iran,2.0,Medium (0.4-0.6),Asia,Middle East & North Africa,
653,PRY,Paraguay,2.0,Medium (0.4-0.6),Americas,Latin America & Caribbean,
664,PHL,Philippines,2.0,Medium (0.4-0.6),Asia,East Asia & Pacific,
713,CHN,China,2.0,Medium - High (20-40%),Asia,East Asia & Pacific,
742,ZAF,South Africa,2.0,Medium (0.4-0.6),Africa,Sub-Saharan Africa,
794,IDN,Indonesia,2.0,Medium - High (20-40%),Asia,East Asia & Pacific,
816,MEX,Mexico,2.0,Medium (0.4-0.6),Americas,Latin America & Caribbean,
832,USA,United States,2.0,Medium - High (20-40%),Americas,North America,
862,BRA,Brazil,2.0,Medium (0.4-0.6),Americas,Latin America & Caribbean,
866,ETH,Ethiopia,2.0,Medium (0.4-0.6),Africa,Sub-Saharan Africa,
867,ARG,Argentina,2.0,Medium (0.4-0.6),Americas,Latin America & Caribbean,
879,KAZ,Kazakhstan,2.0,Medium - High (20-40%),Asia,Europe & Central Asia,
887,KAZ,Kazakhstan,2.0,Medium (0.4-0.6),Asia,Europe & Central Asia,
896,MYS,Malaysia,2.0,Medium (0.4-0.6),Asia,East Asia & Pacific,
948,KOR,South Korea,2.0,Medium - High (20-40%),Asia,East Asia & Pacific,
971,RUS,Russia,2.0,Medium (0.4-0.6),Europe,Europe & Central Asia,
974,PER,Peru,2.0,Medium (0.4-0.6),Americas,Latin America & Caribbean,
1005,NGA,Nigeria,2.0,Medium (0.4-0.6),Africa,Sub-Saharan Africa,
1094,VNM,Vietnam,2.0,Medium - High (20-40%),Asia,East Asia & Pacific,
1117,NZL,New Zealand,2.0,Medium (0.4-0.6),Oceania,East Asia & Pacific,
1125,JPN,Japan,2.0,Medium (0.4-0.6),Asia,East Asia & Pacific,
1129,COL,Colombia,2.0,Medium (0.4-0.6),Americas,Latin America & Caribbean,
1141,PHL,Philippines,2.0,Medium - High (20-40%),Asia,East Asia & Pacific,
1142,CHL,Chile,2.0,Medium (0.4-0.6),Americas,Latin America & Caribbean,
1166,USA,United States,1.0,Low - Medium (0.2-0.4),Americas,North America,
1169,JPN,Japan,1.0,Low - Medium (10-20%),Asia,East Asia & Pacific,
1178,CHE,Switzerland,1.0,Low - Medium (0.2-0.4),Europe,Europe & Central Asia,
1236,ARG,Argentina,1.0,Low - Medium (10-20%),Americas,Latin America & Caribbean,
1254,AUS,Australia,1.0,Low - Medium (0.2-0.4),Oceania,East Asia & Pacific,
1259,KOR,South Korea,1.0,Low - Medium (0.2-0.4),Asia,East Asia & Pacific,
1420,UKR,Ukraine,1.0,Low - Medium (10-20%),Europe,Europe & Central Asia,
1449,GBR,United Kingdom,1.0,Low - Medium (10-20%),Europe,Europe & Central Asia,
1468,CAN,Canada,1.0,Low - Medium (10-20%),Americas,North America,
1489,RUS,Russia,1.0,Low - Medium (10-20%),Europe,Europe & Central Asia,
1519,BRA,Brazil,1.0,Low - Medium (10-20%),Americas,Latin America & Caribbean,
1522,MYS,Malaysia,1.0,Low - Medium (10-20%),Asia,East Asia & Pacific,
1531,ETH,Ethiopia,0.0,Low (<10%),Africa,Sub-Saharan Africa,
1584,NGA,Nigeria,0.0,Low (<10%),Africa,Sub-Saharan Africa,
1649,NOR,Norway,0.0,Low (0.0-0.2),Europe,Europe & Central Asia,
1692,COL,Colombia,0.0,Low (<10%),Americas,Latin America & Caribbean,
1721,CHE,Switzerland,0.0,Low (<10%),Europe,Europe & Central Asia,
1791,NOR,Norway,0.0,Low (<10%),Europe,Europe & Central Asia,
1852,NZL,New Zealand,0.0,Low (<10%),Oceania,East Asia & Pacific,
1885,PRY,Paraguay,0.0,Low (<10%),Americas,Latin America & Caribbean,
